id,unique_,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country_id
NULL,asd,NULL,#loc+name,NULL,#adm1+name,#adm2+name,#geo+lat,#geo+lon,NULL,NULL
338519,2545,1,Pionerske village,Pionerske.,Donetsk oblast,Novoazovsk raion,47.090278,37.729167,197716,369
338615,2546,2,Pisky village,"near Pisky, Donetsk Obl",Donetsk oblast,Yasynuvata raion,48.06693,37.66642,199156,369
338171,2547,2,Avdiivka town,"settlements of Avdiyivka, Pisky, Zaitseve",Donetsk oblast,Avdiivka city municipality,48.145278,37.745,199156,369
338172,2548,2,Opytne village,"near Opytne, Donetsk Obl",Donetsk oblast,Yasynuvata raion,48.096377,37.72225,199156,369
338179,2549,2,Pisky village,village of Pisky (Donetsk region),Donetsk oblast,Yasynuvata raion,48.06693,37.66642,199156,369
349574,2550,4,Donetsk oblast,Donetsk People's Republic,Donetsk oblast,NULL,48.14,37.74,199156,369
338181,2551,1,Sakhanka village,Sakhanka,Donetsk oblast,Novoazovsk raion,47.128548,37.860607,197716,369
338198,2552,1,Syhnalne village,"Syhnalne, Donetsk region.",Donetsk oblast,Marinka raion,47.84393,37.640668,198436,369
338208,2553,1,Staromykhailivka town,settlement of Staromikhailovka,Donetsk oblast,Marinka raion,48.00026,37.588384,199156,369
338209,2554,1,Nevelske village,"near Nevelske, Donetsk Obl",Donetsk oblast,Yasynuvata raion,48.061667,37.574722,199156,369
338211,2555,1,Lebedynske village,"Lebedynske, Donetsk Obl",Donetsk oblast,Novoazovsk raion,47.126667,37.7525,197716,369
376168,2556,2,Mariupol town,"near Donetsk, Debaltseve, Horlivka, and Mariupol cities",Donetsk oblast,Mariupol City municipality,47.095833,37.549444,197716,369
376169,2557,2,Horlivka town,"near Donetsk, Debaltseve, Horlivka, and Mariupol cities",Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
376170,2558,2,Donetsk town,"near Donetsk, Debaltseve, Horlivka, and Mariupol cities",Donetsk oblast,Donetsk City municipality,48,37.805278,199156,369
376171,2559,2,Debaltseve town,"near Donetsk, Debaltseve, Horlivka, and Mariupol cities",Donetsk oblast,Debaltseve City municipality,48.333333,38.4,199157,369
338439,2560,2,Donetsk town,western outskirts of Donetsk,Donetsk oblast,Donetsk City municipality,48,37.805278,199156,369
338454,2561,1,Shirokaya Balka village,village of Shirokaya Balka,Donetsk oblast,Horlivka City municipality,48.301258,37.92923,199156,369
359760,2562,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
338620,2563,2,Krasnohorivka town,war zone: area of the 28 Separate Mechanized Brigade,Donetsk oblast,Marinka raion,48.006667,37.512778,199156,369
366897,2564,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
343811,2565,5,Donets Basin Area,"war zone, 128th Separate Mountain Assault Brigade",NULL,NULL,48.15,38.65,199158,369
343823,2566,5,Donets Basin Area,NULL,NULL,NULL,48.15,38.65,199158,369
343828,2567,1,Horlivka town,Gorlovka,Donetsk oblast,Horlivka City municipality,48.3,38.05,199157,369
350720,2568,2,Mariupol town,"concentrated near Donetsk, Horlivka, Zolote disengagement area, and east of Mariupol",Donetsk oblast,Mariupol City municipality,47.095833,37.549444,197716,369
