connection_id,source_id,original_id
1144,8050,27
1145,8051,28
1146,8051,26
1147,8051,27
1148,8052,28
1149,8052,26
1150,8052,27
1151,8053,28
1152,8053,26
1153,8053,27
1154,8054,28
1155,8055,26
1156,8056,27
1157,8057,28
1158,8058,23
1159,8059,23
1160,8059,23
1161,8060,29
1162,8060,23
1163,8061,29
1164,8062,23
1165,8063,30
1166,8064,31
1167,8064,30
1168,8064,31
1169,8065,29
1170,8065,23
1171,8065,29
1172,8066,23
1173,8066,32
1174,8066,33
1175,8067,34
1178,8068,33
1179,8068,34
1182,8069,33
1183,8070,34
1186,8071,33
1187,8071,34
1190,8072,35
1191,8072,27
1192,8073,36
1193,8073,37
1194,8073,38
1195,8074,23
1196,8074,36
1197,8074,37
1198,8075,38
1199,8075,23
1200,8075,36
1201,8075,37
1202,8075,38
1203,8076,23
1204,8076,36
1205,8076,37
1206,8076,38
1207,8076,23
1208,8077,36
1209,8077,37
1210,8077,38
1211,8077,23
1212,8077,36
1213,8078,37
1214,8078,38
1215,8078,23
1216,8078,36
1217,8078,37
1218,8079,38
1219,8079,23
1220,8079,23
1221,8079,27
1226,8080,23
1227,8080,27
1232,8083,23
1233,8084,27
1238,8086,23
1239,8087,27
1244,8089,23
1245,8090,27
1250,8093,23
1251,8094,27
1256,8096,23
1257,8096,23
1258,8096,29
1260,8097,23
1261,8097,29
1263,8097,23
1264,8098,29
1266,8098,23
1267,8098,29
1269,8099,23
1270,8099,29
1272,8100,23
1273,8100,29
1275,8100,23
1276,8101,29
1278,8102,23
1279,8102,29
1281,8103,23
1282,8103,29
1284,8104,23
1285,8104,29
1287,8105,29
1288,8105,23
1289,8106,29
1290,8106,23
1291,8106,23
1292,8107,39
1293,8107,40
1294,8107,41
1295,8108,42
1296,8108,23
1297,8108,39
1298,8109,40
1299,8110,41
1300,8111,42
1301,8112,23
1302,8113,39
1303,8113,40
1304,8113,41
1305,8114,42
1306,8114,23
1307,8114,39
1308,8115,40
1309,8115,41
1310,8115,42
1311,8116,23
1312,8116,39
1313,8116,40
1314,8117,41
1315,8118,42
1316,8118,23
1317,8118,39
1318,8118,40
1319,8118,41
1320,8118,42
1321,8119,23
1322,8119,23
1323,8119,44
1324,8119,45
1325,8119,46
1326,8119,23
1327,8120,44
1328,8120,45
1329,8120,46
1330,8120,23
1331,8120,44
1332,8120,45
1333,8121,46
1334,8121,23
1335,8121,44
1336,8121,45
1337,8121,46
1338,8121,23
1339,8122,44
1340,8122,45
1341,8122,46
1342,8122,23
1343,8122,44
1344,8122,45
1345,8123,46
1346,8123,23
1347,8123,44
1348,8123,45
1349,8123,46
1350,8123,23
1351,8124,47
1352,8124,47
1353,8124,23
1354,8124,23
1355,8124,48
1356,8124,49
1357,8125,50
1358,8126,48
1359,8127,49
1360,8127,50
1361,8127,48
1362,8128,49
1363,8128,50
1364,8128,48
1365,8129,49
1366,8129,50
1367,8129,51
1368,8130,52
1369,8130,46
1370,8130,53
1371,8131,36
1372,8131,54
1373,8131,55
1374,8133,52
1375,8134,46
1376,8135,53
1377,8136,36
1378,8137,54
1379,8137,55
1380,8138,52
1381,8139,46
1382,8140,53
1383,8143,36
1384,8144,54
1385,8145,55
1386,8146,52
1387,8147,46
1388,8148,53
1389,8149,36
1390,8149,54
1391,8150,55
1392,8151,52
1393,8152,46
1394,8153,53
1395,8154,36
1396,8155,54
1397,8156,55
1398,8157,52
1399,8158,46
1400,8159,53
1401,8160,36
1402,8161,54
1403,8162,55
1404,8163,52
1405,8164,46
1406,8165,53
1407,8166,36
1408,8167,54
1409,8168,55
1410,8169,56
1411,8170,23
1412,8171,57
1413,8172,58
1414,8173,48
1415,8174,57
1416,8175,58
1417,8176,48
1418,8177,57
1419,8178,58
1420,8179,48
1421,8180,57
1422,8181,58
1423,8182,48
1424,8183,57
1425,8184,58
1426,8185,48
1427,8186,434
1428,8187,23
1430,8189,23
1432,8191,23
1434,8193,23
1436,8195,59
1437,8196,27
1438,8197,60
1439,8198,23
1440,8199,60
1441,8200,23
1442,8201,23
1443,8202,434
1444,8202,434
1445,8203,61
1446,8203,23
1447,8204,23
1448,8204,23
1449,8205,23
1450,8206,23
1451,8207,15
1452,8208,38
1453,8209,62
1454,8210,63
1455,8211,23
1456,8212,63
1457,8213,23
1458,8214,23
1459,8215,64
1460,8216,23
1461,8217,64
1462,8218,23
1463,8219,64
1464,8220,23
1465,8220,61
1466,8220,23
1467,8220,65
1468,8221,66
1469,8221,23
1470,8221,66
1471,8221,23
1472,8222,23
1473,8222,23
1474,8222,67
1475,8222,23
1476,8223,67
1477,8223,23
1478,8223,68
1479,8223,69
1480,8224,23
1481,8224,69
1482,8224,23
1483,8224,23
1484,8225,23
1485,8225,23
1486,8225,23
1487,8225,27
1488,8226,47
1489,8226,47
1490,8226,23
1491,8226,70
1493,8228,71
1494,8229,47
1495,8230,71
1496,8231,47
1497,8232,71
1498,8232,47
1499,8233,23
1500,8234,72
1501,8235,72
1502,8236,23
1503,8237,23
1504,8238,23
1505,8239,23
1506,8240,23
1507,8241,23
1508,8242,73
1509,8243,47
1510,8244,73
1511,8245,47
1512,8246,73
1513,8247,47
1514,8248,74
1515,8249,23
1516,8250,74
1517,8251,23
1518,8252,23
1519,8253,23
1520,8253,23
1521,8254,23
1522,8254,23
1523,8255,38
1524,8256,75
1525,8257,28
1526,8258,76
1527,8259,77
1528,8260,35
1529,8261,23
1530,8262,23
1531,8263,23
1532,8264,23
1533,8265,23
1534,8266,47
1535,8267,47
1536,8268,23
1537,8270,23
1538,8271,78
1540,8273,78
1542,8275,79
1543,8275,79
1544,8276,79
1545,8276,23
1546,8277,80
